qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q2095702,enzyme,酵素,Q59199015,pingyangmycin,,group of stereoisomers,,,,,,
Q2113676,enzyme,酵素,Q59199015,glyceryl 1-laurate,モノラウリン,chemical compound,,,,,,
Q654611,enzyme,酵素,Q59199015,argadin,,chemical compound,,,,,,
Q2106898,enzyme,酵素,Q59199015,nicotine bitartrate anhydrous,,chemical compound,,,,,,
Q1440263,enzyme,酵素,Q59199015,fozivudine tidoxil,,chemical compound,,,,,,
Q424586,enzyme,酵素,Q59199015,deoxyguanosine triphosphate,デオキシグアノシン三リン酸,chemical compound,,,,,,
Q2112899,enzyme,酵素,Q59199015,pronyl-lysine,,chemical compound,,,,,,
Q426605,enzyme,酵素,Q59199015,nadifloxacin,ナジフロキサシン,chemical compound,,C062127,,,,
Q2069408,enzyme,酵素,Q59199015,pentedrone,ペンテドローネ,pair of enantiomers,,,,,,
Q303824,enzyme,酵素,Q59199015,diphenylsilanediol,,chemical compound,,,,,,
Q425867,enzyme,酵素,Q59199015,nafronyl,ナフチドロフリル,chemical compound,,D009257,,,,
Q424489,enzyme,酵素,Q59199015,(+/-)-sulforaphane,スルフォラファン,chemical compound,,C016766,,,,
Q2468605,enzyme,酵素,Q59199015,1-phosphatidyl-1D-myo-inositol 3-phosphate,,chemical compound,,,,,,
Q303489,enzyme,酵素,Q59199015,potassium sodium DL-tartrate,,group of stereoisomers,,,,,,
Q421094,enzyme,酵素,Q59199015,hydroxychloroquine,ヒドロキシクロロキン,chemical compound,抗マラリア剤、全身性・皮膚エリテマトーデス治療薬,D006886,,,,C0020336
Q388948,enzyme,酵素,Q59199015,(±)-torreyanic acid,,group of stereoisomers,立体異性群,,,,,
Q1674385,enzyme,酵素,Q59199015,isoalliin,,chemical compound,,,,,,
Q1675010,enzyme,酵素,Q59199015,X-Gluc,,chemical compound,,,,,,
Q2358146,enzyme,酵素,Q59199015,ornidazole,オルニダゾール,group of stereoisomers,,D009950,,,,
Q1484092,enzyme,酵素,Q59199015,"3,4-dihydroxy-5-(1,2,3-trihydroxypropyl)oxolan-2-one",,chemical compound,,,,,,
Q1073333,enzyme,酵素,Q59199015,dyphylline,ジプロフィリン,group of stereoisomers,,D004400,,,,C0013360
Q2204200,enzyme,酵素,Q59199015,isomethyl-α-ionone,,chemical compound,,,,,,
Q2209121,enzyme,酵素,Q59199015,2-bromo-1-chloropropane,,chemical compound,,,,,,
Q424340,enzyme,酵素,Q59199015,terbutaline,テルブタリン,chemical compound,,D013726,,,,C0039542
Q2467043,enzyme,酵素,Q59199015,cyclic ADP-ribose,環状アデノシン二リン酸リボース,chemical compound,,D036563,,,,C0056693
Q670450,enzyme,酵素,Q59199015,diisopropyl tartrate,,chemical compound,,,,,,
Q2182744,enzyme,酵素,Q59199015,citronellic acid,,group of stereoisomers,,,,,,
Q307661,enzyme,酵素,Q59199015,N-acetylglutamic acid,N-アセチルグルタミン酸,pair of enantiomers,,,,,,
Q2394183,enzyme,酵素,Q59199015,etryptamine,アルファ-エチルトリプタミン,group of stereoisomers,,,,,,
Q1641923,enzyme,酵素,Q59199015,amylocaine,ストバイン,group of stereoisomers,,,,,,
Q2454194,enzyme,酵素,Q59199015,sulfosuccinic acid,,chemical compound,,,,,,
Q421042,enzyme,酵素,Q59199015,vildagliptin,ビルダグリプチン,chemical compound,,D000077597,,,,
