qid,category_en,category_ja,category_qid,en_label,ja_label,en_description,ja_description,mesh_id,icd10,icd9,snomed_id,umls_id
Q24723338,cell type,細胞型,Q7644128,"Calreticulin/calnexin, conserved site",,InterPro Conserved Site,,,,,,
Q24723408,cell type,細胞型,Q7644128,"ATP-dependent RNA helicase DEAD-box, conserved site",,InterPro Conserved Site,,,,,,
Q24723363,cell type,細胞型,Q7644128,"Cryptochrome/DNA photolyase class 1, conserved site, C-terminal",,InterPro Conserved Site,,,,,,
Q24723317,cell type,細胞型,Q7644128,ET repeat,,InterPro Repeat,,,,,,
Q24723092,cell type,細胞型,Q7644128,"Phosphoenolpyruvate carboxykinase (ATP), conserved site",,InterPro Conserved Site,,,,,,
Q24723572,cell type,細胞型,Q7644128,"Deoxyribonuclease, TatD-related, conserved site",,InterPro Conserved Site,,,,,,
Q24723754,cell type,細胞型,Q7644128,"Apoptosis regulator, Bcl-2, BH4 motif, conserved site",,InterPro Conserved Site,,,,,,
Q24723651,cell type,細胞型,Q7644128,"DNA methylase, N-6 adenine-specific, conserved site",,InterPro Conserved Site,,,,,,
Q24723140,cell type,細胞型,Q7644128,"Ribosomal protein L31e, conserved site",,InterPro Conserved Site,,,,,,
Q24723297,cell type,細胞型,Q7644128,"NUDIX hydrolase, NudL, conserved site",,InterPro Conserved Site,,,,,,
Q24723642,cell type,細胞型,Q7644128,"Homeobox, conserved site",,InterPro Conserved Site,,,,,,
Q24723888,cell type,細胞型,Q7644128,"Aminotransferase, class IV, conserved site",,InterPro Conserved Site,,,,,,
Q24723377,cell type,細胞型,Q7644128,"Myristoyl-CoA:protein N-myristoyltransferase, conserved site",,InterPro Conserved Site,,,,,,
Q24723330,cell type,細胞型,Q7644128,"Pleiotrophin/Midkine heparin-binding growth factor, conserved site",,InterPro Conserved Site,,,,,,
Q24723244,cell type,細胞型,Q7644128,"Transcription factor TFIIB, conserved site",,InterPro Conserved Site,,,,,,
Q24723792,cell type,細胞型,Q7644128,"Glutamine synthetase class-I, adenylation site",,InterPro Conserved Site,,,,,,
Q24723430,cell type,細胞型,Q7644128,Plasmodium-MYXSPDY,,InterPro Repeat,,,,,,
Q24723316,cell type,細胞型,Q7644128,"Transcription termination factor NusA, C-terminal duplication",,InterPro Repeat,,,,,,
Q24723570,cell type,細胞型,Q7644128,Leucine rich repeat variant,,InterPro Repeat,,,,,,
Q24723369,cell type,細胞型,Q7644128,"Transcription factor, NFYB/HAP3, conserved site",,InterPro Conserved Site,,,,,,
Q24723912,cell type,細胞型,Q7644128,"Gonadotropin, beta subunit, conserved site",,InterPro Conserved Site,,,,,,
Q24723955,cell type,細胞型,Q7644128,"Imidazoleglycerol-phosphate dehydratase, conserved site",,InterPro Conserved Site,,,,,,
Q24724145,cell type,細胞型,Q7644128,Disaggregatase-related repeat,,InterPro Repeat,,,,,,
Q24723734,cell type,細胞型,Q7644128,PAC motif,,InterPro Repeat,,,,,,
Q24724194,cell type,細胞型,Q7644128,"DNA topoisomerase, type IIA, conserved site",,InterPro Conserved Site,,,,,,
Q24723648,cell type,細胞型,Q7644128,Ribosomal protein L7Ae conserved site,,InterPro Conserved Site,,,,,,
Q24723930,cell type,細胞型,Q7644128,"Long hematopoietin receptor, soluble alpha chain, conserved site",,InterPro Conserved Site,,,,,,
Q24723795,cell type,細胞型,Q7644128,"Ribosomal protein L14P,  conserved site",,InterPro Conserved Site,,,,,,
Q24723826,cell type,細胞型,Q7644128,"Short hematopoietin receptor, family 1, conserved site",,InterPro Conserved Site,,,,,,
Q24723760,cell type,細胞型,Q7644128,"Zona pellucida domain, conserved site",,InterPro Conserved Site,,,,,,
Q24723824,cell type,細胞型,Q7644128,"Transcription antiterminator, conserved site",,InterPro Conserved Site,,,,,,
Q24724465,cell type,細胞型,Q7644128,"Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site",,InterPro Conserved Site,,,,,,
Q24724411,cell type,細胞型,Q7644128,"Glycosyl hydrolases family 1, N-terminal conserved site",,InterPro Conserved Site,,,,,,
Q24724549,cell type,細胞型,Q7644128,"Connexin, conserved site",,InterPro Conserved Site,,,,,,
Q24724586,cell type,細胞型,Q7644128,"cytochrome P450, conserved site",,InterPro Conserved Site,,,,,,
Q24724150,cell type,細胞型,Q7644128,"NADH:ubiquinone oxidoreductase, 49kDa subunit, conserved site",,InterPro Conserved Site,,,,,,
Q24724029,cell type,細胞型,Q7644128,Rib/alpha/Esp surface antigen,,InterPro Repeat,,,,,,
Q24724065,cell type,細胞型,Q7644128,Protein of unknown function DUF349,,InterPro Repeat,,,,,,
Q24724033,cell type,細胞型,Q7644128,"Ribosomal protein L23/L25, conserved site",,InterPro Conserved Site,,,,,,
Q24724084,cell type,細胞型,Q7644128,Protein of unknown function DUF347,,InterPro Repeat,,,,,,
Q24724083,cell type,細胞型,Q7644128,"Ras guanine-nucleotide exchange factor, conserved site",,InterPro Conserved Site,,,,,,
Q24724169,cell type,細胞型,Q7644128,"Peptidase M22, conserved site",,InterPro Conserved Site,,,,,,
Q24724709,cell type,細胞型,Q7644128,DUF236 repeat,,InterPro Repeat,,,,,,
Q24724882,cell type,細胞型,Q7644128,Cation-independent mannose-6-phosphate receptor,,InterPro Repeat,,,,,,
Q24724920,cell type,細胞型,Q7644128,"Cathelicidin, conserved site",,InterPro Conserved Site,,,,,,
Q24724378,cell type,細胞型,Q7644128,Surface protein repeat Ser-Ala-175,,InterPro Repeat,,,,,,
Q24724334,cell type,細胞型,Q7644128,WG containing repeat,,InterPro Repeat,,,,,,
Q24725188,cell type,細胞型,Q7644128,Apidaecin,,InterPro Repeat,,,,,,
Q24724628,cell type,細胞型,Q7644128,Protein of unknown function DUF321,,InterPro Repeat,,,,,,
Q24724715,cell type,細胞型,Q7644128,"NADH:ubiquinone oxidoreductase, 51kDa subunit, conserved site",,InterPro Conserved Site,,,,,,
Q24724768,cell type,細胞型,Q7644128,"LacY/RafB permease family, conserved site",,InterPro Conserved Site,,,,,,
Q24725071,cell type,細胞型,Q7644128,"Glycerate/sugar phosphate transporter, conserved site",,InterPro Conserved Site,,,,,,
Q24724764,cell type,細胞型,Q7644128,"MoaA/nifB/pqqE, iron-sulphur binding, conserved site",,InterPro Conserved Site,,,,,,
